base_plus_handcrafted_latent_skill,base_plus_handcrafted_skill,base_plus_latent_skill,base_plus_pca_latent_skill,base_plus_pca_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,correction_event_frequencies,diagnostic,draws,feature,increment_beyond_handcrafted,increment_beyond_pca,large_event_samples,large_threshold,mapping_alpha,mean_forward_change_large,mean_source_progress_large,mean_target_progress_large,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,source_subsystem,spearman,target,target_subsystem
-18.03859611515596,-18.032999617814426,-1.549521732014691,-2.8763756093358337,-1.530886564034113,-1.550979653461845,,,,,,diagnostic_1,,call_to_put_increment,-0.005596497341535667,-1.3454890453017208,,,,,,,"{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":1.959204465719531e-08,""ci_low"":1.6143466178109725e-08,""ci_high"":2.334252379920189e-08,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":1.959204465719531e-08,""ci_low"":1.5410192249864997e-08,""ci_high"":2.3416940296509747e-08,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":1.959204465719531e-08,""ci_low"":1.4735487220799019e-08,""ci_high"":2.453075328646773e-08,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":-1.8081139771129263e-05,""ci_low"":-2.0662731504651184e-05,""ci_high"":-1.564577144687748e-05,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-1.8081139771129263e-05,""ci_low"":-2.1286935736737775e-05,""ci_high"":-1.5672691944651992e-05,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-1.8081139771129263e-05,""ci_low"":-2.1669713656107285e-05,""ci_high"":-1.4677009980295707e-05,""positive_probability"":0.0,""block_rows"":60,""draws"":500}},""comparator_to_candidate"":{""60s"":{""mean_mae_reduction"":-7.520763622299311e-08,""ci_low"":-8.098478578293472e-08,""ci_high"":-6.94965539304239e-08,""positive_probability"":0.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":-7.520763622299311e-08,""ci_low"":-8.308557653209158e-08,""ci_high"":-6.717461646555848e-08,""positive_probability"":0.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":-7.520763622299311e-08,""ci_low"":-8.588988969025996e-08,""ci_high"":-6.511932025495648e-08,""positive_probability"":0.0,""block_rows"":60,""draws"":500}}}",,,,,1,call,,parity_restoration,put
,,,,,,12,60,-0.04898812196142009,-0.14368200469718567,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,3.3519783755764365e-05,1.1106725176241358e-06,-6.325371071415128e-05]",4477,1,call,-0.09298961896254075,call_relative_move,put
,,,,,,24,120,-0.04260335176324178,-0.14401470468548858,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,3.3519783755764365e-05,1.1106725176241358e-06,-6.325371071415128e-05]",4477,1,call,-0.09298961896254075,call_relative_move,put
,,,,,,60,300,-0.05339561394304241,-0.136097568624379,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,3.3519783755764365e-05,1.1106725176241358e-06,-6.325371071415128e-05]",4477,1,call,-0.09298961896254075,call_relative_move,put
,,,,,,12,60,0.1471421536455717,0.05537823742432663,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-4.311482860850027e-05,-8.908442861298634e-07,8.224068420394411e-05]",4477,1,call,0.09950224387583836,put_relative_move,put
,,,,,,24,120,0.1467691059702424,0.0490686476030939,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-4.311482860850027e-05,-8.908442861298634e-07,8.224068420394411e-05]",4477,1,call,0.09950224387583836,put_relative_move,put
,,,,,,60,300,0.1452551918144289,0.05576963557904138,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-4.311482860850027e-05,-8.908442861298634e-07,8.224068420394411e-05]",4477,1,call,0.09950224387583836,put_relative_move,put
,,,,,,12,60,0.05897727631056919,-0.025601399791715152,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,0.00018753084945134245,0.0001721441643784289,0.00025978386138548267]",4477,1,call,0.012599590047942172,call_put_relative_correction,put
,,,,,,24,120,0.05539079328176022,-0.023363004200641926,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,0.00018753084945134245,0.0001721441643784289,0.00025978386138548267]",4477,1,call,0.012599590047942172,call_put_relative_correction,put
,,,,,,60,300,0.06493128207663632,-0.025379973307131043,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,0.00018753084945134245,0.0001721441643784289,0.00025978386138548267]",4477,1,call,0.012599590047942172,call_put_relative_correction,put
,,,,,,12,60,0.042316218985096916,-0.013608630610963427,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-0.000557598786858412,0.00012946182524912534,-0.0006105355215522478]",4477,1,call,0.015311543815519508,signed_atm_iv_change,put
,,,,,,24,120,0.04460608738150497,-0.014380813572164102,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-0.000557598786858412,0.00012946182524912534,-0.0006105355215522478]",4477,1,call,0.015311543815519508,signed_atm_iv_change,put
,,,,,,60,300,0.03577869769357943,-0.007383307556052534,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-0.000557598786858412,0.00012946182524912534,-0.0006105355215522478]",4477,1,call,0.015311543815519508,signed_atm_iv_change,put
,,,,,,12,60,0.00016718588689064928,-0.08552736987723643,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,1.8909667512791481e-06,5.571258734089458e-08,-3.016083236324671e-06]",4477,1,call,-0.040622319983969236,parity_restoration,put
,,,,,,24,120,0.00024873496422319426,-0.07619118302851659,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,1.8909667512791481e-06,5.571258734089458e-08,-3.016083236324671e-06]",4477,1,call,-0.040622319983969236,parity_restoration,put
,,,,,,60,300,-0.005048831612418757,-0.0720725623452362,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,1.8909667512791481e-06,5.571258734089458e-08,-3.016083236324671e-06]",4477,1,call,-0.040622319983969236,parity_restoration,put
,,,,,,12,60,0.06499951688548813,-0.02659358066495439,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-9.158941415640025e-06,-6.875909162626752e-06,-2.1952503132370283e-07]",4477,1,call,0.01632218921066062,signed_futures_return,put
,,,,,,24,120,0.06297505981576816,-0.023894909764601315,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-9.158941415640025e-06,-6.875909162626752e-06,-2.1952503132370283e-07]",4477,1,call,0.01632218921066062,signed_futures_return,put
,,,,,,60,300,0.06221423775249444,-0.025692022724732925,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-9.158941415640025e-06,-6.875909162626752e-06,-2.1952503132370283e-07]",4477,1,call,0.01632218921066062,signed_futures_return,put
,,,,,,12,60,0.0264059168822208,-0.03778426858711041,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-2.0783757414532234e-05,7.902402131930362e-06,-6.282508260963643e-05]",4477,1,call,-0.005429793809618504,surface_residual_restoration,put
,,,,,,24,120,0.02327664457938113,-0.034774976437128985,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-2.0783757414532234e-05,7.902402131930362e-06,-6.282508260963643e-05]",4477,1,call,-0.005429793809618504,surface_residual_restoration,put
,,,,,,60,300,0.01620564537009971,-0.02846464208417722,"{""not_large"":4212,""both_correct"":76,""source_led_correction"":116,""persistent_disagreement"":51,""target_led_correction"":22}",diagnostic_2,500,call_to_put_disequilibrium,,,265,7.273935022179557,100.0,-0.33787793859574067,-0.06579181304693753,0.24958266690258907,,False,"[0,0,520,3692,265]","[null,null,-2.0783757414532234e-05,7.902402131930362e-06,-6.282508260963643e-05]",4477,1,call,-0.005429793809618504,surface_residual_restoration,put
-8.860007379228113,-8.908911274676063,-10.213917567329066,-9.380772652396036,-9.392235627771093,-10.24420262862541,,,,,,diagnostic_2,,call_to_put_increment,0.04890389544794971,0.011462975375057027,,,,,,,"{""base_to_candidate"":{""60s"":{""mean_mae_reduction"":4.423560245260279e-06,""ci_low"":4.0465818031314626e-06,""ci_high"":4.802589480918695e-06,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":4.423560245260279e-06,""ci_low"":3.9572003423283944e-06,""ci_high"":4.92316521428088e-06,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":4.423560245260279e-06,""ci_low"":3.806179980772512e-06,""ci_high"":5.059782743088778e-06,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""base_pca_to_candidate"":{""60s"":{""mean_mae_reduction"":1.6743291903993153e-06,""ci_low"":1.2857227082047497e-06,""ci_high"":2.0728910059543973e-06,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":1.6743291903993153e-06,""ci_low"":1.2321606344627694e-06,""ci_high"":2.1961659095552137e-06,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":1.6743291903993153e-06,""ci_low"":1.0597690735793758e-06,""ci_high"":2.341380603651004e-06,""positive_probability"":1.0,""block_rows"":60,""draws"":500}},""comparator_to_candidate"":{""60s"":{""mean_mae_reduction"":7.143103513151031e-06,""ci_low"":6.586847358227986e-06,""ci_high"":7.664610559635112e-06,""positive_probability"":1.0,""block_rows"":12,""draws"":500},""120s"":{""mean_mae_reduction"":7.143103513151031e-06,""ci_low"":6.483694539278726e-06,""ci_high"":7.810525831178097e-06,""positive_probability"":1.0,""block_rows"":24,""draws"":500},""300s"":{""mean_mae_reduction"":7.143103513151031e-06,""ci_low"":6.27301842367631e-06,""ci_high"":8.04994235281089e-06,""positive_probability"":1.0,""block_rows"":60,""draws"":500}}}",,,,,1,call,,call_put_relative_correction,put
