diagnostic,mean_absolute_atm_iv_change,mean_absolute_atm_straddle_change,mean_absolute_futures_return,mean_near_atm_spread_change,mean_parity_restoration,mean_realized_futures_volatility,mean_surface_displacement,samples,seed,share,state,thresholds
diagnostic_2,0.005225155117182896,4.864724931018106e-05,8.967827106344288e-05,0.0002710962380033693,-1.100022426067755e-06,0.00011114178268886657,0.038489799479563665,58,42,0.012955103864194774,ambiguous_state,"{""velocity"":{""low"":2.2345555006456714,""median"":7.468329585675203,""high"":8.841791232462032},""surprise"":{""low"":5.501870528198659,""median"":5.869308083116232,""high"":6.647163495953071},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.266957445538113,""median"":7.902028763425657,""high"":8.532709864842303}}"
diagnostic_2,0.00528455241971553,7.37528321819204e-05,9.082602506708137e-05,-9.496268080548737e-06,2.891879416142264e-07,0.00012429097537219663,0.043837329014838215,3622,42,0.8090238999329908,cross_market_dislocation,"{""velocity"":{""low"":2.2345555006456714,""median"":7.468329585675203,""high"":8.841791232462032},""surprise"":{""low"":5.501870528198659,""median"":5.869308083116232,""high"":6.647163495953071},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.266957445538113,""median"":7.902028763425657,""high"":8.532709864842303}}"
diagnostic_2,0.004923832145339122,6.011543602276222e-05,9.614380838353107e-05,-2.109267001761098e-05,-2.737456065870971e-07,0.00013413712338784217,0.04002842784097242,511,42,0.11413893232075051,hidden_disturbance,"{""velocity"":{""low"":2.2345555006456714,""median"":7.468329585675203,""high"":8.841791232462032},""surprise"":{""low"":5.501870528198659,""median"":5.869308083116232,""high"":6.647163495953071},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.266957445538113,""median"":7.902028763425657,""high"":8.532709864842303}}"
diagnostic_2,0.0065345581542778685,8.387949604254503e-05,9.34600830078125e-05,9.967814350437203e-05,-1.5874891375772366e-06,0.00012655339629462296,0.05096079808749531,286,42,0.06388206388206388,unclassified,"{""velocity"":{""low"":2.2345555006456714,""median"":7.468329585675203,""high"":8.841791232462032},""surprise"":{""low"":5.501870528198659,""median"":5.869308083116232,""high"":6.647163495953071},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.266957445538113,""median"":7.902028763425657,""high"":8.532709864842303}}"
diagnostic_1,0.004189664308796637,4.9184013732883614e-05,8.017756044864655e-05,-1.945443924000756e-05,1.3274241039695767e-06,0.00010720829814243886,0.040581408609132175,1024,101,0.4372331340734415,ambiguous_state,"{""velocity"":{""low"":2.0171012756925273,""median"":7.2842887550322,""high"":8.615074061735005},""surprise"":{""low"":5.790159074918733,""median"":6.21878192521874,""high"":6.848322588993884},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.1590226917296755,""median"":7.974664113763572,""high"":8.618487101442287}}"
diagnostic_1,0.0046935515832089185,4.418617978985805e-05,9.102206076345136e-05,1.2340784568579927e-05,-3.6571440201005057e-07,0.00012010826672694111,0.045818140958802045,1116,101,0.47651579846285225,cross_market_dislocation,"{""velocity"":{""low"":2.0171012756925273,""median"":7.2842887550322,""high"":8.615074061735005},""surprise"":{""low"":5.790159074918733,""median"":6.21878192521874,""high"":6.848322588993884},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.1590226917296755,""median"":7.974664113763572,""high"":8.618487101442287}}"
diagnostic_1,0.003609305992722511,2.685524523258209e-05,7.863044738769532e-05,-6.279058507061564e-05,-9.876837793854066e-07,0.00012779944891733725,0.041292418520093424,40,101,0.017079419299743808,hidden_disturbance,"{""velocity"":{""low"":2.0171012756925273,""median"":7.2842887550322,""high"":8.615074061735005},""surprise"":{""low"":5.790159074918733,""median"":6.21878192521874,""high"":6.848322588993884},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.1590226917296755,""median"":7.974664113763572,""high"":8.618487101442287}}"
diagnostic_1,0.00608217794402146,4.697446193959978e-05,9.775161743164062e-05,2.7528170903678983e-05,-4.0107998857921404e-07,0.0001120315831287941,0.050441086234602785,162,101,0.06917164816396243,unclassified,"{""velocity"":{""low"":2.0171012756925273,""median"":7.2842887550322,""high"":8.615074061735005},""surprise"":{""low"":5.790159074918733,""median"":6.21878192521874,""high"":6.848322588993884},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.1590226917296755,""median"":7.974664113763572,""high"":8.618487101442287}}"
diagnostic_2,0.004580878170268607,6.135213863601644e-05,8.898999119762711e-05,-4.3972209317260924e-05,3.588658997207283e-07,0.00011266527137369437,0.039228990696747325,697,101,0.15568461023006477,ambiguous_state,"{""velocity"":{""low"":2.0171012756925273,""median"":7.2842887550322,""high"":8.615074061735005},""surprise"":{""low"":5.790159074918733,""median"":6.21878192521874,""high"":6.848322588993884},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.1590226917296755,""median"":7.974664113763572,""high"":8.618487101442287}}"
diagnostic_2,0.005376550234977226,7.351538889057372e-05,9.275466765997544e-05,1.16053476485488e-05,2.674461782435345e-08,0.00012878286323498322,0.0444289711268634,3392,101,0.7576502121956668,cross_market_dislocation,"{""velocity"":{""low"":2.0171012756925273,""median"":7.2842887550322,""high"":8.615074061735005},""surprise"":{""low"":5.790159074918733,""median"":6.21878192521874,""high"":6.848322588993884},""uncertainty"":{""low"":4.134304814163872,""median"":4.23486818560675,""high"":4.6786888751240285},""disequilibrium"":{""low"":7.1590226917296755,""median"":7.974664113763572,""high"":8.618487101442287}}"
