base_plus_pca_surprise_skill,base_plus_surprise_skill,base_plus_velocity_skill,base_plus_velocity_surprise_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,diagnostic,draws,feature,increment_beyond_velocity,paired_increment_beyond_velocity,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,spearman,target
,,,,,12,60,0.10291052328536217,0.04322232687177748,diagnostic_2,500,surprise_l2_30s,,,,False,"[0,0,0,788,3689]","[null,null,null,-4.493349170764946e-05,9.342717523807768e-06]",4477,7,0.07493276515725147,near_atm_spread_change
,,,,,24,120,0.10475800902713059,0.05094057266052338,diagnostic_2,500,surprise_l2_30s,,,,False,"[0,0,0,788,3689]","[null,null,null,-4.493349170764946e-05,9.342717523807768e-06]",4477,7,0.07493276515725147,near_atm_spread_change
,,,,,60,300,0.10387943120836522,0.05034832818137182,diagnostic_2,500,surprise_l2_30s,,,,False,"[0,0,0,788,3689]","[null,null,null,-4.493349170764946e-05,9.342717523807768e-06]",4477,7,0.07493276515725147,near_atm_spread_change
,,,,,12,60,0.08810537396350177,-0.013909215735531163,diagnostic_2,500,surprise_l2_30s,,,,False,"[0,0,0,788,3689]","[null,null,null,5.7080092835169154e-05,7.581558935879433e-05]",4477,7,0.03819875217308501,absolute_atm_straddle_change
,,,,,24,120,0.09343385445694577,-0.01774008128241284,diagnostic_2,500,surprise_l2_30s,,,,False,"[0,0,0,788,3689]","[null,null,null,5.7080092835169154e-05,7.581558935879433e-05]",4477,7,0.03819875217308501,absolute_atm_straddle_change
,,,,,60,300,0.10357806030584511,-0.018652159261693425,diagnostic_2,500,surprise_l2_30s,,,,False,"[0,0,0,788,3689]","[null,null,null,5.7080092835169154e-05,7.581558935879433e-05]",4477,7,0.03819875217308501,absolute_atm_straddle_change
,,,,,12,60,0.03677079831198245,-0.05368331174193212,diagnostic_2,500,surprise_l2_30s,,,,False,"[0,0,0,788,3689]","[null,null,null,3.669334098607772e-07,2.7267009631718497e-08]",4477,7,-0.006162605819709482,parity_restoration
,,,,,24,120,0.037486265814386355,-0.050727977285333396,diagnostic_2,500,surprise_l2_30s,,,,False,"[0,0,0,788,3689]","[null,null,null,3.669334098607772e-07,2.7267009631718497e-08]",4477,7,-0.006162605819709482,parity_restoration
,,,,,60,300,0.0292497770458806,-0.04042235725201399,diagnostic_2,500,surprise_l2_30s,,,,False,"[0,0,0,788,3689]","[null,null,null,3.669334098607772e-07,2.7267009631718497e-08]",4477,7,-0.006162605819709482,parity_restoration
,,,,,12,60,0.22112849350385205,0.15477308114499902,diagnostic_2,500,surprise_unit_l2_30s,,,,False,"[0,0,0,851,3626]","[null,null,null,0.039382734544742684,0.04482234468939417]",4477,7,0.19142345670582342,surface_displacement
