base_plus_metric_skill,base_plus_pca_metric_skill,base_plus_velocity_metric_skill,base_plus_velocity_skill,base_skill,block_rows,block_seconds,ci_high,ci_low,diagnostic,draws,feature,increment_beyond_velocity,paired_increment_beyond_velocity,paired_intervals,quintile_monotonic,quintile_samples,quintile_target_means,samples,seed,spearman,target
,,,,,60,300,0.08485985515519189,0.006453465482158223,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[-3.399468363828159e-05,1.3914684315522125e-05,-6.542002346378001e-05,null,null]",2342,1,0.04250744320470185,near_atm_spread_change
,,,,,12,60,0.03649126931414215,-0.0723396260043262,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[4.4948566438896314e-05,4.7135589147529924e-05,3.49318199768299e-05,null,null]",2342,1,-0.017461001768995517,absolute_atm_straddle_change
,,,,,24,120,0.04147415694209827,-0.07984552275255904,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[4.4948566438896314e-05,4.7135589147529924e-05,3.49318199768299e-05,null,null]",2342,1,-0.017461001768995517,absolute_atm_straddle_change
,,,,,60,300,0.03687180914246707,-0.07019518732558973,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[4.4948566438896314e-05,4.7135589147529924e-05,3.49318199768299e-05,null,null]",2342,1,-0.017461001768995517,absolute_atm_straddle_change
,,,,,12,60,0.08256161265397843,-0.028438520887082673,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[5.434925229305268e-07,2.4654056561609346e-07,1.7440607047230914e-06,null,null]",2342,1,0.022076682002293516,parity_restoration
,,,,,24,120,0.07531305239161187,-0.03421505247372762,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[5.434925229305268e-07,2.4654056561609346e-07,1.7440607047230914e-06,null,null]",2342,1,0.022076682002293516,parity_restoration
,,,,,60,300,0.07556742180450032,-0.021070464319141696,diagnostic_1,500,acceleration_5s,,,,False,"[700,1601,41,0,0]","[5.434925229305268e-07,2.4654056561609346e-07,1.7440607047230914e-06,null,null]",2342,1,0.022076682002293516,parity_restoration
,,,,,12,60,0.015410202878711494,-0.06436488247616677,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[0.04563128738015635,0.04310286378498114,0.04103835326004826,0.042812253173678476,0.044119217841525504]",2342,1,-0.025200462850776775,surface_displacement
,,,,,24,120,0.02179891437220076,-0.06192167096593706,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[0.04563128738015635,0.04310286378498114,0.04103835326004826,0.042812253173678476,0.044119217841525504]",2342,1,-0.025200462850776775,surface_displacement
,,,,,60,300,0.017677673856882254,-0.07531365776152936,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[0.04563128738015635,0.04310286378498114,0.04103835326004826,0.042812253173678476,0.044119217841525504]",2342,1,-0.025200462850776775,surface_displacement
,,,,,12,60,-0.006340553755326356,-0.08186087455415407,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[0.0048564126530584815,0.004445127639132487,0.004439952833231315,0.0043100458383560185,0.004494492778028666]",2342,1,-0.04597786280272107,absolute_atm_iv_change
,,,,,24,120,-0.003030586241280532,-0.08968615585305256,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[0.0048564126530584815,0.004445127639132487,0.004439952833231315,0.0043100458383560185,0.004494492778028666]",2342,1,-0.04597786280272107,absolute_atm_iv_change
,,,,,60,300,0.002883891394734185,-0.09380246188655343,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[0.0048564126530584815,0.004445127639132487,0.004439952833231315,0.0043100458383560185,0.004494492778028666]",2342,1,-0.04597786280272107,absolute_atm_iv_change
,,,,,12,60,0.0459559574844265,-0.0304528812346972,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[0.00011404817759426373,0.00011241871305443731,0.00011549774988995158,0.00011070210916205995,0.00011570158955154849]",2342,1,0.008737216112971735,realized_futures_volatility
,,,,,24,120,0.044160598877764454,-0.033296157421402836,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[0.00011404817759426373,0.00011241871305443731,0.00011549774988995158,0.00011070210916205995,0.00011570158955154849]",2342,1,0.008737216112971735,realized_futures_volatility
,,,,,60,300,0.04473907091551115,-0.02966569638406302,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[0.00011404817759426373,0.00011241871305443731,0.00011549774988995158,0.00011070210916205995,0.00011570158955154849]",2342,1,0.008737216112971735,realized_futures_volatility
,,,,,12,60,0.05631518838702307,-0.016028023691524493,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[8.466068548135483e-05,8.385349327409771e-05,8.855633179096017e-05,8.920522836538461e-05,8.73905229634801e-05]",2342,1,0.01815484075618128,absolute_futures_return
,,,,,24,120,0.061763074163211217,-0.021811225191944016,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[8.466068548135483e-05,8.385349327409771e-05,8.855633179096017e-05,8.920522836538461e-05,8.73905229634801e-05]",2342,1,0.01815484075618128,absolute_futures_return
,,,,,60,300,0.05710919587922621,-0.024047891956644984,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[8.466068548135483e-05,8.385349327409771e-05,8.855633179096017e-05,8.920522836538461e-05,8.73905229634801e-05]",2342,1,0.01815484075618128,absolute_futures_return
,,,,,12,60,0.03192707072968417,-0.04789419812135523,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[2.0137176471063122e-05,-3.0729691719334626e-05,-6.855057467256999e-06,1.143515629407305e-05,-1.0349505436211638e-05]",2342,1,-0.009529717472474645,near_atm_spread_change
,,,,,24,120,0.03705010543349789,-0.05186737548963086,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[2.0137176471063122e-05,-3.0729691719334626e-05,-6.855057467256999e-06,1.143515629407305e-05,-1.0349505436211638e-05]",2342,1,-0.009529717472474645,near_atm_spread_change
,,,,,60,300,0.0349388349991296,-0.048011625235052764,diagnostic_1,500,curvature_5s,,,,False,"[626,355,317,325,719]","[2.0137176471063122e-05,-3.0729691719334626e-05,-6.855057467256999e-06,1.143515629407305e-05,-1.0349505436211638e-05]",2342,1,-0.009529717472474645,near_atm_spread_change
