diagnostic,trading_date,horizon,target,median_base_skill,median_jepa_skill,median_base_plus_jepa_skill,median_incremental_jepa_skill,incremental_range,positive_seeds,median_incremental_r2,median_auc,median_balanced_accuracy
diagnostic_1,2026-08-26,30s,surface_displacement,-0.08920792166399427,0.016888501702150838,0.022479159131666315,0.11168708079566059,"[0.10243356171405926, 0.1359535624902014]",5,0.2850913979128802,,
diagnostic_1,2026-08-26,60s,absolute_atm_iv_change,0.18918687137651236,0.043456335147740166,0.1487714488219718,-0.04041542255454056,"[-0.04752455475857942, -0.02118309150942166]",0,-0.16299211484839038,,
diagnostic_1,2026-08-26,60s,absolute_atm_straddle_change,0.12248666938443564,0.002780385462401891,0.038331244913248574,-0.08415542447118707,"[-0.26350319732943384, -0.04510127591694435]",0,-0.1973112600717306,,
diagnostic_1,2026-08-26,60s,absolute_futures_return,-0.5531316117750269,-0.047860561993677164,-0.7519859611455963,-0.19885434937056945,"[-2.472897143350835, 0.06467472591532619]",2,-0.46973654275732746,,
diagnostic_1,2026-08-26,60s,near_atm_spread_change,0.2030049006700183,-0.10304531869387024,0.20728458493007185,0.00427968426005354,"[-1.579542521971726, 0.033195910004094054]",3,0.05284257971202455,0.7780475817438961,0.6968279100369442
diagnostic_1,2026-08-26,60s,realized_futures_volatility,-1.115888347844991,-0.1859647991040021,-0.45826744640645445,0.6576209014385366,"[0.17489945487233438, 0.8496263081602111]",5,1.7965617541225285,,
diagnostic_1,2026-08-26,60s,signed_atm_iv_change,0.07452552389352973,0.003984228749950858,0.06767401396098327,-0.006851509932546462,"[-0.08390676721388346, 0.018636137041350254]",1,-0.022965230995780628,0.6921780350832912,0.6274372160524988
diagnostic_1,2026-08-26,60s,signed_atm_straddle_change,-0.8883610981694094,-0.001945619904973217,-0.051085490391361565,0.8372756077780479,"[0.7673561278900485, 0.8623650231095576]",5,1.7435585798247526,0.5105095960954553,0.5189803818243349
diagnostic_1,2026-08-26,60s,signed_futures_return,-4.268997604436923,-0.013457474814269732,-17.62065817109755,-13.351660566660627,"[-20.315747724045856, 3.041386786189226]",1,-184.89247079812125,0.48473278825254007,0.5
diagnostic_1,2026-08-26,60s,surface_displacement,-0.07060685397559308,0.013024286432548604,-0.02521984390964427,0.04538701006594881,"[-0.12500866104524722, 0.04690459095427957]",4,0.045197842189609094,,
diagnostic_2,2026-08-27,300s,absolute_atm_iv_change,0.1182630485603331,0.057372486640897224,0.17428810402928718,0.05602505546895409,"[0.03748637237366814, 0.0667204168176383]",5,0.19295983012857132,,
diagnostic_2,2026-08-27,300s,absolute_atm_straddle_change,-0.06995949556720982,0.05824438253062958,0.11075266157871888,0.1807121571459287,"[0.15768628940349583, 0.22664359158237113]",5,0.43606365939523606,,
diagnostic_2,2026-08-27,300s,absolute_futures_return,-2.999326113571164,-0.04952781954929253,-4.98072123096017,-1.981395117389006,"[-2.5116081524474607, -0.7719916810648755]",0,-13.343344547210272,,
diagnostic_2,2026-08-27,300s,near_atm_spread_change,-0.6453596845426444,-0.0665766677313091,-0.5432410880351641,0.10211859650748023,"[-22.19151930139382, 0.23081691855770492]",3,0.23394001670425535,0.7434772669802256,0.5730946239821979
diagnostic_2,2026-08-27,300s,realized_futures_volatility,-4.1302461930776255,-0.031755534582759815,-8.55614954207857,-4.4259033490009445,"[-13.592539665047028, 0.3840562717769087]",2,-59.66147628083742,,
