cluster_ids,comparison_id,comparison_kind,delta_oos_r_squared,direction,evaluation_rows,fold_id,model_kind,paired_loss_blocks,permutation_repeat,permutation_seed,training_rows
"[""cluster__183ba54d92e73c9e""]",cluster__183ba54d92e73c9e,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,3,51202661,5544
"[""cluster__183ba54d92e73c9e""]",cluster__183ba54d92e73c9e,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,4,51202662,5544
"[""cluster__183ba54d92e73c9e""]",cluster__183ba54d92e73c9e,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,5,51202663,5544
"[""cluster__183ba54d92e73c9e""]",cluster__183ba54d92e73c9e,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,6,51202664,5544
"[""cluster__183ba54d92e73c9e""]",cluster__183ba54d92e73c9e,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,7,51202665,5544
"[""cluster__183ba54d92e73c9e""]",cluster__183ba54d92e73c9e,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,8,51202666,5544
"[""cluster__183ba54d92e73c9e""]",cluster__183ba54d92e73c9e,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,9,51202667,5544
"[""cluster__18424cecdf110691""]",cluster__18424cecdf110691,block_permutation,0.0012384694417133524,positive,1418,outer_03,shallow_gradient_boosting,142,0,51202668,5544
"[""cluster__18424cecdf110691""]",cluster__18424cecdf110691,block_permutation,0.0009663027115791589,positive,1418,outer_03,shallow_gradient_boosting,142,1,51202669,5544
"[""cluster__18424cecdf110691""]",cluster__18424cecdf110691,block_permutation,0.0011307937634570386,positive,1418,outer_03,shallow_gradient_boosting,142,2,51202670,5544
"[""cluster__18424cecdf110691""]",cluster__18424cecdf110691,block_permutation,0.004882213825268655,positive,1418,outer_03,shallow_gradient_boosting,142,3,51202671,5544
"[""cluster__18424cecdf110691""]",cluster__18424cecdf110691,block_permutation,0.0012766714379024435,positive,1418,outer_03,shallow_gradient_boosting,142,4,51202672,5544
"[""cluster__18424cecdf110691""]",cluster__18424cecdf110691,block_permutation,0.0001293950312997172,positive,1418,outer_03,shallow_gradient_boosting,142,5,51202673,5544
"[""cluster__18424cecdf110691""]",cluster__18424cecdf110691,block_permutation,0.005731590970293743,positive,1418,outer_03,shallow_gradient_boosting,142,6,51202674,5544
"[""cluster__18424cecdf110691""]",cluster__18424cecdf110691,block_permutation,0.002596849063603246,positive,1418,outer_03,shallow_gradient_boosting,142,7,51202675,5544
"[""cluster__18424cecdf110691""]",cluster__18424cecdf110691,block_permutation,0.0017415203731845352,positive,1418,outer_03,shallow_gradient_boosting,142,8,51202676,5544
"[""cluster__18424cecdf110691""]",cluster__18424cecdf110691,block_permutation,0.0033530040325173704,positive,1418,outer_03,shallow_gradient_boosting,142,9,51202677,5544
"[""cluster__189d1a90a1a742dc""]",cluster__189d1a90a1a742dc,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,0,51202678,5544
"[""cluster__189d1a90a1a742dc""]",cluster__189d1a90a1a742dc,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,1,51202679,5544
"[""cluster__189d1a90a1a742dc""]",cluster__189d1a90a1a742dc,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,2,51202680,5544
"[""cluster__189d1a90a1a742dc""]",cluster__189d1a90a1a742dc,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,3,51202681,5544
"[""cluster__189d1a90a1a742dc""]",cluster__189d1a90a1a742dc,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,4,51202682,5544
"[""cluster__189d1a90a1a742dc""]",cluster__189d1a90a1a742dc,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,5,51202683,5544
"[""cluster__189d1a90a1a742dc""]",cluster__189d1a90a1a742dc,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,6,51202684,5544
"[""cluster__189d1a90a1a742dc""]",cluster__189d1a90a1a742dc,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,7,51202685,5544
"[""cluster__189d1a90a1a742dc""]",cluster__189d1a90a1a742dc,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,8,51202686,5544
"[""cluster__189d1a90a1a742dc""]",cluster__189d1a90a1a742dc,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,9,51202687,5544
"[""cluster__1a13286f866c4155""]",cluster__1a13286f866c4155,block_permutation,-0.0020467769731233876,negative,1418,outer_03,shallow_gradient_boosting,142,0,51202688,5544
"[""cluster__1a13286f866c4155""]",cluster__1a13286f866c4155,block_permutation,0.000876510710120737,positive,1418,outer_03,shallow_gradient_boosting,142,1,51202689,5544
"[""cluster__1a13286f866c4155""]",cluster__1a13286f866c4155,block_permutation,0.0024458778681046844,positive,1418,outer_03,shallow_gradient_boosting,142,2,51202690,5544
"[""cluster__1a13286f866c4155""]",cluster__1a13286f866c4155,block_permutation,-0.006560110386924833,negative,1418,outer_03,shallow_gradient_boosting,142,3,51202691,5544
"[""cluster__1a13286f866c4155""]",cluster__1a13286f866c4155,block_permutation,-0.010992933904347968,negative,1418,outer_03,shallow_gradient_boosting,142,4,51202692,5544
"[""cluster__1a13286f866c4155""]",cluster__1a13286f866c4155,block_permutation,0.006118728931686412,positive,1418,outer_03,shallow_gradient_boosting,142,5,51202693,5544
"[""cluster__1a13286f866c4155""]",cluster__1a13286f866c4155,block_permutation,0.0008326868577934743,positive,1418,outer_03,shallow_gradient_boosting,142,6,51202694,5544
"[""cluster__1a13286f866c4155""]",cluster__1a13286f866c4155,block_permutation,0.012382503896036123,positive,1418,outer_03,shallow_gradient_boosting,142,7,51202695,5544
"[""cluster__1a13286f866c4155""]",cluster__1a13286f866c4155,block_permutation,0.001333241721152456,positive,1418,outer_03,shallow_gradient_boosting,142,8,51202696,5544
"[""cluster__1a13286f866c4155""]",cluster__1a13286f866c4155,block_permutation,-0.0015730579840949055,negative,1418,outer_03,shallow_gradient_boosting,142,9,51202697,5544
"[""cluster__1ce77120fa004169""]",cluster__1ce77120fa004169,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,0,51202698,5544
"[""cluster__1ce77120fa004169""]",cluster__1ce77120fa004169,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,1,51202699,5544
"[""cluster__1ce77120fa004169""]",cluster__1ce77120fa004169,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,2,51202700,5544
"[""cluster__1ce77120fa004169""]",cluster__1ce77120fa004169,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,3,51202701,5544
"[""cluster__1ce77120fa004169""]",cluster__1ce77120fa004169,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,4,51202702,5544
"[""cluster__1ce77120fa004169""]",cluster__1ce77120fa004169,block_permutation,0.0,zero,1418,outer_03,shallow_gradient_boosting,142,5,51202703,5544
