cluster_id,family,fold_id,member_count,members,model_features,representation
cluster__a391bd497d5a01b9,surface_quality,outer_01,2,"[""quality__surface_age_seconds"", ""quality__worst_instrument_age_seconds""]","[""cluster__a391bd497d5a01b9""]",representative
cluster__a59fb5db9f4fd3e0,price_path,outer_01,1,"[""price__displayed_mid_return_lag_10s_ticks""]","[""cluster__a59fb5db9f4fd3e0""]",representative
cluster__a7171c841cb9fb67,ofi,outer_01,1,"[""ofi__w10__average_m5_minus_m20""]","[""cluster__a7171c841cb9fb67""]",representative
cluster__a867b4c1b44d375e,ofi,outer_01,1,"[""ccz_ofi_w30__m1__average""]","[""cluster__a867b4c1b44d375e""]",representative
cluster__ad0a96a048bbc7d8,book_liquidity,outer_01,2,"[""lob__l1_total_quantity"", ""lob__log1p_l1_total_quantity""]","[""cluster__ad0a96a048bbc7d8""]",representative
cluster__afbf9ac7f0d6750b,ofi,outer_01,1,"[""ccz_ofi_w10__m1__average""]","[""cluster__afbf9ac7f0d6750b""]",representative
cluster__b14504afa42d221d,surface_quality,outer_01,3,"[""quality__2026-09-01__quote_count"", ""quality__2026-09-29__quote_count"", ""quality__used_quote_count""]","[""cluster__b14504afa42d221d""]",representative
cluster__b3049e2f6d60b737,surface_quality,outer_01,1,"[""quality__2026-09-29__support_width""]","[""cluster__b3049e2f6d60b737""]",representative
cluster__b31ca2d0bf76f633,ofi,outer_01,1,"[""ofi__w2__average_m5_minus_m20""]","[""cluster__b31ca2d0bf76f633""]",representative
cluster__b3a7ffd8d4e710b8,ofi,outer_01,1,"[""ccz_ofi_w5__m1__average""]","[""cluster__b3a7ffd8d4e710b8""]",representative
cluster__b7ff184a7303a6f4,surface_quality,outer_01,1,"[""quality__weighted_r_squared""]","[""cluster__b7ff184a7303a6f4""]",representative
cluster__b89a1d7f25394d90,book_liquidity,outer_01,1,"[""lob__ask_average_order_size_proxy_5""]","[""cluster__b89a1d7f25394d90""]",representative
cluster__b9449c25001f7b51,book_liquidity,outer_01,2,"[""lob__microprice_tilt_ticks"", ""lob__quantity_imbalance_l1""]","[""cluster__b9449c25001f7b51""]",representative
cluster__bc09b5bb95952a78,time_regime,outer_01,1,"[""regime__session_phase_sin""]","[""cluster__bc09b5bb95952a78""]",representative
cluster__c2362e322fead508,book_liquidity,outer_01,1,"[""lob__spread_ticks""]","[""cluster__c2362e322fead508""]",representative
cluster__c31b8136d504bf03,book_liquidity,outer_01,1,"[""lob__order_count_imbalance_l4""]","[""cluster__c31b8136d504bf03""]",representative
cluster__c5e49f1433602139,book_liquidity,outer_01,1,"[""lob__order_count_imbalance_l2""]","[""cluster__c5e49f1433602139""]",representative
cluster__c9bce3cfeb10e97e,ofi,outer_01,1,"[""ofi__w10__average_m20_minus_m200""]","[""cluster__c9bce3cfeb10e97e""]",representative
cluster__d0b21ec5092ce804,book_liquidity,outer_01,1,"[""lob__quantity_imbalance_l4""]","[""cluster__d0b21ec5092ce804""]",representative
cluster__db99c4b3ba8fc30d,ofi,outer_01,1,"[""ofi__w5__average_m20_minus_m200""]","[""cluster__db99c4b3ba8fc30d""]",representative
cluster__e11a6d709526da4b,book_liquidity,outer_01,1,"[""lob__order_count_imbalance_cum5""]","[""cluster__e11a6d709526da4b""]",representative
cluster__e52784991ac5d943,ofi,outer_01,1,"[""ccz_ofi_w30__m200__average""]","[""cluster__e52784991ac5d943""]",representative
cluster__e6215b6a0fbc0220,book_liquidity,outer_01,2,"[""lob__ask_total_quantity_5"", ""lob__log1p_ask_total_quantity_5""]","[""cluster__e6215b6a0fbc0220""]",representative
cluster__ea16c5febde76055,interaction,outer_01,1,"[""interaction__front_atm_skew_ew_innovation_x_ofi_w10_m10""]","[""cluster__ea16c5febde76055""]",representative
cluster__ea1ef3c2c858720d,ofi,outer_01,1,"[""ccz_ofi_w10__m100__average""]","[""cluster__ea1ef3c2c858720d""]",representative
cluster__ed8f648abf1108c3,ofi,outer_01,3,"[""ccz_ofi_w5__m10__average"", ""ccz_ofi_w5__m20__average"", ""ccz_ofi_w5__m50__average""]","[""cluster__ed8f648abf1108c3""]",representative
cluster__f03f4701c752ba34,book_liquidity,outer_01,1,"[""lob__quantity_imbalance_cum5""]","[""cluster__f03f4701c752ba34""]",representative
cluster__f2308f5991ce73f6,book_liquidity,outer_01,2,"[""lob__bid_curvature"", ""lob__bid_slope""]","[""cluster__f2308f5991ce73f6""]",representative
cluster__f3105bf2ea19861a,price_path,outer_01,1,"[""price__displayed_mid_return_lag_0p5s_ticks""]","[""cluster__f3105bf2ea19861a""]",representative
cluster__f344d3ca8bc6155a,surface_quality,outer_01,1,"[""quality__2026-08-25__support_width""]","[""cluster__f344d3ca8bc6155a""]",representative
cluster__fb3b9bf085ae4374,ofi,outer_01,2,"[""ccz_ofi_w5__m100__average"", ""ccz_ofi_w5__m200__average""]","[""cluster__fb3b9bf085ae4374""]",representative
cluster__fc5bdd24bfb709b8,ofi,outer_01,1,"[""ofi__w0p5__average_m5_minus_m20""]","[""cluster__fc5bdd24bfb709b8""]",representative
cluster__fd3291f0b03d2dd6,book_liquidity,outer_01,2,"[""lob__bid_total_quantity_5"", ""lob__log1p_bid_total_quantity_5""]","[""cluster__fd3291f0b03d2dd6""]",representative
cluster__feb3f6ac5faeccec,ofi,outer_01,1,"[""ccz_ofi_w0p5__m1__average""]","[""cluster__feb3f6ac5faeccec""]",representative
cluster__057ded5ba3568a7f,book_liquidity,outer_02,1,"[""lob__order_count_imbalance_l1""]","[""cluster__057ded5ba3568a7f""]",representative
