axis,correlation,directional_accuracy,fold_id,mae,model_id,mse,oos_r2_vs_training_mean,oos_r2_vs_zero,regime,rows
volatility,0.3151281059898837,0.3258426966292135,outer_02,13.286470371081709,elastic_net__a1__l11,436.4531659697889,0.09353796596934405,0.07901624650125039,zero,267
spread,,0.0,outer_02,8.332680344141137,elastic_net__a1__l11,69.43356171763605,-0.7180416327311061,-0.4170114636370086,normal_le_2,1
spread,0.23678738934758997,0.44381625441696115,outer_02,11.915068912228504,elastic_net__a1__l11,317.2431979940611,0.037620996071698,0.029956813304503727,wide_gt_2,1415
time_phase,0.2365589167158879,0.4435028248587571,outer_02,11.912538976799064,elastic_net__a1__l11,317.06819118878116,0.03755552891819225,0.02990949064888415,close_after_300m,1416
volatility,0.1376408481548599,0.5066666666666667,outer_02,13.862003195432242,boosted_tree__d2__l4__lr0.05__n50__stop24,363.2777199810536,-0.00953100153432973,-0.0067928829566470394,high_gt_5,375
volatility,0.029579952068633803,0.4509090909090909,outer_02,8.165346552522605,boosted_tree__d2__l4__lr0.05__n50__stop24,157.9618604630678,-0.014963902361460502,-0.01333189389177436,low_le_1,275
volatility,0.2027827501823193,0.4649298597194389,outer_02,11.332621469545748,boosted_tree__d2__l4__lr0.05__n50__stop24,306.3154723551458,0.04579757363444381,0.033210075108430104,medium_le_5,499
volatility,0.46990618661095046,0.32209737827715357,outer_02,12.718654666763047,boosted_tree__d2__l4__lr0.05__n50__stop24,435.9051221695448,0.09467618866227223,0.08017270376994501,zero,267
spread,,0.0,outer_02,10.638879853248271,boosted_tree__d2__l4__lr0.05__n50__stop24,113.18576453185196,-1.8006320126428048,-1.3099135618937376,normal_le_2,1
spread,0.19896407489372123,0.446643109540636,outer_02,11.649428642902206,boosted_tree__d2__l4__lr0.05__n50__stop24,317.1685930602072,0.03784731525642593,0.0301849348473342,wide_gt_2,1415
time_phase,0.19841947383163266,0.4463276836158192,outer_02,11.648714978502731,boosted_tree__d2__l4__lr0.05__n50__stop24,317.02453739034246,0.037688037817276254,0.030043052250896873,close_after_300m,1416
volatility,,0.15121951219512195,outer_03,8.99999999999929,zero_return,204.67804878052414,0.0005101679040558915,0.0,high_gt_5,205
volatility,,0.14138817480719795,outer_03,7.329048843190803,zero_return,113.49357326485115,0.0038806501108292757,0.0,low_le_1,389
volatility,,0.09331259720062209,outer_03,8.8040435458772,zero_return,162.474339035727,-0.0015478808344142614,0.0,medium_le_5,643
volatility,,0.049723756906077346,outer_03,9.397790055247734,zero_return,164.08287292813594,0.003859693572341838,0.0,zero,181
spread,,0.1592920353982301,outer_03,9.938053097346033,zero_return,202.22123893803868,-0.007715068556645388,0.0,normal_le_2,113
spread,,0.1049808429118774,outer_03,8.379310344827475,zero_return,151.28505747126533,0.0016281909116638849,0.0,wide_gt_2,1305
time_phase,,0.10930888575458392,outer_03,8.503526093088826,zero_return,155.34414668547223,0.0006670103772263847,0.0,close_after_300m,1418
volatility,-2.180907143759785e-17,0.4292682926829268,outer_03,9.02005596029916,training_mean,204.78252225068806,0.0,-0.0005104283081960315,high_gt_5,205
volatility,-9.653405240100155e-17,0.39331619537275064,outer_03,7.359299012901138,training_mean,113.93571792122958,0.0,-0.0038957682242204417,low_le_1,389
volatility,8.954681818410836e-17,0.4821150855365474,outer_03,8.80911480950212,training_mean,162.22323679659291,0.0,0.0015454886022271408,medium_le_5,643
volatility,-5.908320513149004e-17,0.4143646408839779,outer_03,9.4220719427893,training_mean,164.71863639025634,0.0,-0.003874648528361835,zero,181
spread,3.8397742163865e-17,0.5929203539823009,outer_03,9.911705551086975,training_mean,200.67303273303335,0.0,0.007656001976526827,normal_le_2,113
spread,2.0849629402805626e-17,0.42835249042145596,outer_03,8.399625980660359,training_mean,151.5317801385151,0.0,-0.0016308462406913193,wide_gt_2,1305
time_phase,-8.04299915398676e-19,0.4414668547249647,outer_03,8.520123153762057,training_mean,155.44783200253528,0.0,-0.0006674555770227464,close_after_300m,1418
volatility,0.20889798931656084,0.4634146341463415,outer_03,9.118443701130643,simple_state,200.8316597770027,0.019292967145159157,0.01879238651354309,high_gt_5,205
volatility,-0.0006756611470741715,0.4652956298200514,outer_03,8.246676820620545,simple_state,120.6760481448548,-0.05915906220282219,-0.06328530042174707,low_le_1,389
volatility,0.16385343520368545,0.4307931570762053,outer_03,9.68021179656949,simple_state,184.00738162192903,-0.13428498441718695,-0.13253195990209288,medium_le_5,643
volatility,-0.27420769420792035,0.5359116022099447,outer_03,10.275907070177883,simple_state,173.0892277784665,-0.050817512648528185,-0.054889061177488596,zero,181
spread,0.15227912570226415,0.2743362831858407,outer_03,12.810953430981467,simple_state,260.18718994852117,-0.29657277016719474,-0.28664620647608374,normal_le_2,113
spread,0.11222636899576918,0.47432950191570883,outer_03,8.97618074264264,simple_state,159.66146906456245,-0.05365005887620389,-0.05536840011372646,wide_gt_2,1305
time_phase,0.11516237090791885,0.45839210155148097,outer_03,9.281772642348061,simple_state,167.67233398690894,-0.07864054343436777,-0.07936048808068574,close_after_300m,1418
volatility,0.34504987884702104,0.47804878048780486,outer_03,9.080183441022648,elastic_net__a1__l10.5,181.84186280702315,0.11202449892467725,0.11157125109194388,high_gt_5,205
volatility,0.0795669791281594,0.46272493573264784,outer_03,7.4328837463708055,elastic_net__a1__l10.5,111.57021476794074,0.02076173474348275,0.01694684942575575,low_le_1,389
volatility,0.12488987502250755,0.5178849144634525,outer_03,8.886337642323227,elastic_net__a1__l10.5,163.45545822503834,-0.007595838011730027,-0.006038610128431321,medium_le_5,643
volatility,0.18504698741991193,0.56353591160221,outer_03,9.421836436471228,elastic_net__a1__l10.5,155.57889460082154,0.055486992787996736,0.05182733685458407,zero,181
spread,0.3473331154442749,0.5398230088495575,outer_03,9.603448427965073,elastic_net__a1__l10.5,171.822042516342,0.1437711376748536,0.15032642753717418,normal_le_2,113
spread,0.13165422865247553,0.49961685823754787,outer_03,8.495714336707248,elastic_net__a1__l10.5,149.06064687913442,0.01630768976066832,0.014703438854517414,wide_gt_2,1305
time_phase,0.17737880579005777,0.502820874471086,outer_03,8.583989338337808,elastic_net__a1__l10.5,150.8744957557243,0.029420392603072054,0.02877257383117049,close_after_300m,1418
volatility,0.1653429398047903,0.4292682926829268,outer_03,11.354402419580925,boosted_tree__d3__l8__lr0.05__n25__stop24,237.62938593000595,-0.16039876508165984,-0.16099106546015318,high_gt_5,205
volatility,0.06576673798763741,0.4601542416452442,outer_03,7.434643724666301,boosted_tree__d3__l8__lr0.05__n25__stop24,113.3702596193701,0.0049629590454717265,0.0010865253593987934,low_le_1,389
volatility,0.08559143517351361,0.4401244167962675,outer_03,9.01421312358392,boosted_tree__d3__l8__lr0.05__n25__stop24,166.32472887065148,-0.025283012193877852,-0.02369844898447515,medium_le_5,643
volatility,-0.12584506622117042,0.425414364640884,outer_03,9.725881359989076,boosted_tree__d3__l8__lr0.05__n25__stop24,171.52615923028355,-0.04132818841396069,-0.04536296914674054,zero,181
spread,0.08461249132119736,0.19469026548672566,outer_03,10.84483752254631,boosted_tree__d3__l8__lr0.05__n25__stop24,206.23332629318256,-0.027708225088452165,-0.019840088885882068,normal_le_2,113
spread,0.05352444099613084,0.46360153256704983,outer_03,8.851176880830675,boosted_tree__d3__l8__lr0.05__n25__stop24,159.00668560993623,-0.04932896231132711,-0.05104025650476096,wide_gt_2,1305
time_phase,0.07553655251415134,0.4421720733427362,outer_03,9.010051106863022,boosted_tree__d3__l8__lr0.05__n25__stop24,162.77016261783953,-0.04710474582356872,-0.047803641725895574,close_after_300m,1418
