session,signal_ns,prediction,direction,latency_ms,ttl_seconds,queue_model,status,entry_quote_age_ms,queue_ahead_units,fee_bps,entry_price,exit_price,gross_bps,fill_delay_ms,adverse_mid_move_1s_bps,mark_from_fill_1s_bps,adverse_mid_move_5s_bps,mark_from_fill_5s_bps
2026-08-26,1787733120000000000,-6.345819054363484e-05,-1,0,1,touch,unfilled,548.62592,0.0,0.5,,,,,,,,
2026-08-26,1787733120000000000,-6.345819054363484e-05,-1,0,1,touch,unfilled,548.62592,0.0,1.0,,,,,,,,
2026-08-26,1787733150000000000,7.925702665523076e-05,1,0,1,touch,unfilled,487.653888,0.0,0.0,,,,,,,,
2026-08-26,1787733150000000000,7.925702665523076e-05,1,0,1,touch,unfilled,487.653888,0.0,0.2,,,,,,,,
2026-08-26,1787733150000000000,7.925702665523076e-05,1,0,1,touch,unfilled,487.653888,0.0,0.5,,,,,,,,
2026-08-26,1787733150000000000,7.925702665523076e-05,1,0,1,touch,unfilled,487.653888,0.0,1.0,,,,,,,,
2026-08-26,1787733205000000000,-6.375505682119327e-05,-1,0,1,touch,unfilled,641.952,0.0,0.0,,,,,,,,
2026-08-26,1787733205000000000,-6.375505682119327e-05,-1,0,1,touch,unfilled,641.952,0.0,0.2,,,,,,,,
2026-08-26,1787733205000000000,-6.375505682119327e-05,-1,0,1,touch,unfilled,641.952,0.0,0.5,,,,,,,,
2026-08-26,1787733205000000000,-6.375505682119327e-05,-1,0,1,touch,unfilled,641.952,0.0,1.0,,,,,,,,
2026-08-26,1787733330000000000,6.157369263393105e-05,1,0,1,touch,unfilled,72.14592,0.0,0.0,,,,,,,,
2026-08-26,1787733330000000000,6.157369263393105e-05,1,0,1,touch,unfilled,72.14592,0.0,0.2,,,,,,,,
2026-08-26,1787733330000000000,6.157369263393105e-05,1,0,1,touch,unfilled,72.14592,0.0,0.5,,,,,,,,
2026-08-26,1787733330000000000,6.157369263393105e-05,1,0,1,touch,unfilled,72.14592,0.0,1.0,,,,,,,,
2026-08-26,1787733375000000000,6.213689481333166e-05,1,0,1,touch,filled,82.866944,0.0,0.0,24432.099609375,24433.0,0.36852094124352264,415.936,0.0,1.4324390392588005,0.2253986198661823,1.6578376591256598
2026-08-26,1787733375000000000,6.213689481333166e-05,1,0,1,touch,filled,82.866944,0.0,0.2,24432.099609375,24433.0,0.36852094124352264,415.936,0.0,1.4324390392588005,0.2253986198661823,1.6578376591256598
2026-08-26,1787733375000000000,6.213689481333166e-05,1,0,1,touch,filled,82.866944,0.0,0.5,24432.099609375,24433.0,0.36852094124352264,415.936,0.0,1.4324390392588005,0.2253986198661823,1.6578376591256598
2026-08-26,1787733375000000000,6.213689481333166e-05,1,0,1,touch,filled,82.866944,0.0,1.0,24432.099609375,24433.0,0.36852094124352264,415.936,0.0,1.4324390392588005,0.2253986198661823,1.6578376591256598
2026-08-26,1787733500000000000,5.887990389370571e-05,1,0,1,touch,unfilled,303.083008,0.0,0.0,,,,,,,,
2026-08-26,1787733500000000000,5.887990389370571e-05,1,0,1,touch,unfilled,303.083008,0.0,0.2,,,,,,,,
2026-08-26,1787733500000000000,5.887990389370571e-05,1,0,1,touch,unfilled,303.083008,0.0,0.5,,,,,,,,
2026-08-26,1787733500000000000,5.887990389370571e-05,1,0,1,touch,unfilled,303.083008,0.0,1.0,,,,,,,,
2026-08-26,1787733530000000000,7.490309914461588e-05,1,0,1,touch,unfilled,147.762176,0.0,0.0,,,,,,,,
2026-08-26,1787733530000000000,7.490309914461588e-05,1,0,1,touch,unfilled,147.762176,0.0,0.2,,,,,,,,
2026-08-26,1787733530000000000,7.490309914461588e-05,1,0,1,touch,unfilled,147.762176,0.0,0.5,,,,,,,,
2026-08-26,1787733530000000000,7.490309914461588e-05,1,0,1,touch,unfilled,147.762176,0.0,1.0,,,,,,,,
2026-08-26,1787733625000000000,-7.730143629285384e-05,-1,0,1,touch,unfilled,4.303104,0.0,0.0,,,,,,,,
2026-08-26,1787733625000000000,-7.730143629285384e-05,-1,0,1,touch,unfilled,4.303104,0.0,0.2,,,,,,,,
2026-08-26,1787733625000000000,-7.730143629285384e-05,-1,0,1,touch,unfilled,4.303104,0.0,0.5,,,,,,,,
2026-08-26,1787733625000000000,-7.730143629285384e-05,-1,0,1,touch,unfilled,4.303104,0.0,1.0,,,,,,,,
2026-08-26,1787733735000000000,7.842817990197982e-05,1,0,1,touch,unfilled,758.575872,0.0,0.0,,,,,,,,
2026-08-26,1787733735000000000,7.842817990197982e-05,1,0,1,touch,unfilled,758.575872,0.0,0.2,,,,,,,,
2026-08-26,1787733735000000000,7.842817990197982e-05,1,0,1,touch,unfilled,758.575872,0.0,0.5,,,,,,,,
2026-08-26,1787733735000000000,7.842817990197982e-05,1,0,1,touch,unfilled,758.575872,0.0,1.0,,,,,,,,
2026-08-26,1787733895000000000,5.9399988257959955e-05,1,0,1,touch,unfilled,100.724992,0.0,0.0,,,,,,,,
2026-08-26,1787733895000000000,5.9399988257959955e-05,1,0,1,touch,unfilled,100.724992,0.0,0.2,,,,,,,,
2026-08-26,1787733895000000000,5.9399988257959955e-05,1,0,1,touch,unfilled,100.724992,0.0,0.5,,,,,,,,
2026-08-26,1787733895000000000,5.9399988257959955e-05,1,0,1,touch,unfilled,100.724992,0.0,1.0,,,,,,,,
2026-08-26,1787734010000000000,5.9222388301673804e-05,1,0,1,touch,unfilled,586.21184,0.0,0.0,,,,,,,,
2026-08-26,1787734010000000000,5.9222388301673804e-05,1,0,1,touch,unfilled,586.21184,0.0,0.2,,,,,,,,
2026-08-26,1787734010000000000,5.9222388301673804e-05,1,0,1,touch,unfilled,586.21184,0.0,0.5,,,,,,,,
2026-08-26,1787734010000000000,5.9222388301673804e-05,1,0,1,touch,unfilled,586.21184,0.0,1.0,,,,,,,,
2026-08-26,1787734925000000000,6.727558893389069e-05,1,0,1,touch,filled,698.665984,0.0,0.0,24454.0,24453.099609375,-0.3682044661379887,925.852928,0.0,0.5726468180744697,-0.020764862530093384,0.5518819555438595
2026-08-26,1787734925000000000,6.727558893389069e-05,1,0,1,touch,filled,698.665984,0.0,0.2,24454.0,24453.099609375,-0.3682044661379887,925.852928,0.0,0.5726468180744697,-0.020764862530093384,0.5518819555438595
2026-08-26,1787734925000000000,6.727558893389069e-05,1,0,1,touch,filled,698.665984,0.0,0.5,24454.0,24453.099609375,-0.3682044661379887,925.852928,0.0,0.5726468180744697,-0.020764862530093384,0.5518819555438595
2026-08-26,1787734925000000000,6.727558893389069e-05,1,0,1,touch,filled,698.665984,0.0,1.0,24454.0,24453.099609375,-0.3682044661379887,925.852928,0.0,0.5726468180744697,-0.020764862530093384,0.5518819555438595
2026-08-26,1787735070000000000,6.927271117739072e-05,1,0,1,touch,unfilled,670.759936,0.0,0.0,,,,,,,,
2026-08-26,1787735070000000000,6.927271117739072e-05,1,0,1,touch,unfilled,670.759936,0.0,0.2,,,,,,,,
2026-08-26,1787735070000000000,6.927271117739072e-05,1,0,1,touch,unfilled,670.759936,0.0,0.5,,,,,,,,
2026-08-26,1787735070000000000,6.927271117739072e-05,1,0,1,touch,unfilled,670.759936,0.0,1.0,,,,,,,,
2026-08-26,1787735450000000000,-0.00010250000583050704,-1,0,1,touch,unfilled,83.542016,0.0,0.0,,,,,,,,
2026-08-26,1787735450000000000,-0.00010250000583050704,-1,0,1,touch,unfilled,83.542016,0.0,0.2,,,,,,,,
2026-08-26,1787735450000000000,-0.00010250000583050704,-1,0,1,touch,unfilled,83.542016,0.0,0.5,,,,,,,,
2026-08-26,1787735450000000000,-0.00010250000583050704,-1,0,1,touch,unfilled,83.542016,0.0,1.0,,,,,,,,
2026-08-26,1787735510000000000,6.763376370316575e-05,1,0,1,touch,unfilled,757.968896,0.0,0.0,,,,,,,,
2026-08-26,1787735510000000000,6.763376370316575e-05,1,0,1,touch,unfilled,757.968896,0.0,0.2,,,,,,,,
2026-08-26,1787735510000000000,6.763376370316575e-05,1,0,1,touch,unfilled,757.968896,0.0,0.5,,,,,,,,
2026-08-26,1787735510000000000,6.763376370316575e-05,1,0,1,touch,unfilled,757.968896,0.0,1.0,,,,,,,,
2026-08-26,1787735735000000000,6.531424519247413e-05,1,0,1,touch,unfilled,800.993792,0.0,0.0,,,,,,,,
2026-08-26,1787735735000000000,6.531424519247413e-05,1,0,1,touch,unfilled,800.993792,0.0,0.2,,,,,,,,
2026-08-26,1787735735000000000,6.531424519247413e-05,1,0,1,touch,unfilled,800.993792,0.0,0.5,,,,,,,,
2026-08-26,1787735735000000000,6.531424519247413e-05,1,0,1,touch,unfilled,800.993792,0.0,1.0,,,,,,,,
2026-08-26,1787735870000000000,-6.740129015909831e-05,-1,0,1,touch,unfilled,198.031872,0.0,0.0,,,,,,,,
2026-08-26,1787735870000000000,-6.740129015909831e-05,-1,0,1,touch,unfilled,198.031872,0.0,0.2,,,,,,,,
2026-08-26,1787735870000000000,-6.740129015909831e-05,-1,0,1,touch,unfilled,198.031872,0.0,0.5,,,,,,,,
2026-08-26,1787735870000000000,-6.740129015909831e-05,-1,0,1,touch,unfilled,198.031872,0.0,1.0,,,,,,,,
2026-08-26,1787735900000000000,-8.175029959271581e-05,-1,0,1,touch,unfilled,348.946944,0.0,0.0,,,,,,,,
2026-08-26,1787735900000000000,-8.175029959271581e-05,-1,0,1,touch,unfilled,348.946944,0.0,0.2,,,,,,,,
2026-08-26,1787735900000000000,-8.175029959271581e-05,-1,0,1,touch,unfilled,348.946944,0.0,0.5,,,,,,,,
2026-08-26,1787735900000000000,-8.175029959271581e-05,-1,0,1,touch,unfilled,348.946944,0.0,1.0,,,,,,,,
2026-08-26,1787735965000000000,7.129945427776435e-05,1,0,1,touch,unfilled,40.013056,0.0,0.0,,,,,,,,
2026-08-26,1787735965000000000,7.129945427776435e-05,1,0,1,touch,unfilled,40.013056,0.0,0.2,,,,,,,,
2026-08-26,1787735965000000000,7.129945427776435e-05,1,0,1,touch,unfilled,40.013056,0.0,0.5,,,,,,,,
2026-08-26,1787735965000000000,7.129945427776435e-05,1,0,1,touch,unfilled,40.013056,0.0,1.0,,,,,,,,
2026-08-26,1787736075000000000,-6.062031576421036e-05,-1,0,1,touch,unfilled,1093.880064,0.0,0.0,,,,,,,,
2026-08-26,1787736075000000000,-6.062031576421036e-05,-1,0,1,touch,unfilled,1093.880064,0.0,0.2,,,,,,,,
2026-08-26,1787736075000000000,-6.062031576421036e-05,-1,0,1,touch,unfilled,1093.880064,0.0,0.5,,,,,,,,
2026-08-26,1787736075000000000,-6.062031576421036e-05,-1,0,1,touch,unfilled,1093.880064,0.0,1.0,,,,,,,,
2026-08-26,1787736115000000000,-6.587398341057594e-05,-1,0,1,touch,unfilled,14.675968,0.0,0.0,,,,,,,,
2026-08-26,1787736115000000000,-6.587398341057594e-05,-1,0,1,touch,unfilled,14.675968,0.0,0.2,,,,,,,,
2026-08-26,1787736115000000000,-6.587398341057594e-05,-1,0,1,touch,unfilled,14.675968,0.0,0.5,,,,,,,,
2026-08-26,1787736115000000000,-6.587398341057594e-05,-1,0,1,touch,unfilled,14.675968,0.0,1.0,,,,,,,,
2026-08-26,1787736210000000000,6.625013094123436e-05,1,0,1,touch,unfilled,268.472064,0.0,0.0,,,,,,,,
2026-08-26,1787736210000000000,6.625013094123436e-05,1,0,1,touch,unfilled,268.472064,0.0,0.2,,,,,,,,
2026-08-26,1787736210000000000,6.625013094123436e-05,1,0,1,touch,unfilled,268.472064,0.0,0.5,,,,,,,,
