latency_ms,ttl_seconds,queue_model,fee_bps,signals,fills,fill_rate,mean_net_bps_per_fill,mean_net_bps_per_signal,total_net_bps,win_rate_fills,break_even_fee_bps_per_fill
0,5,touch,1.0,203,93,0.458128078817734,-0.660804354910717,-0.3027330295896388,-61.45480500669668,0.25806451612903225,0.3391956450892831
250,1,full_displayed,0.0,203,6,0.029556650246305417,0.4396346029114966,0.01299412619442847,2.6378076174689795,0.6666666666666666,0.4396346029114966
250,1,full_displayed,0.2,203,6,0.029556650246305417,0.23963460291149655,0.007082796145167386,1.4378076174689793,0.6666666666666666,0.4396346029114966
250,1,full_displayed,0.5,203,6,0.029556650246305417,-0.06036539708850342,-0.001784198928724239,-0.36219238253102054,0.5,0.4396346029114966
250,1,full_displayed,1.0,203,6,0.029556650246305417,-0.5603653970885034,-0.01656252405187695,-3.3621923825310205,0.3333333333333333,0.4396346029114966
250,1,half_displayed,0.0,203,6,0.029556650246305417,0.4396346029114966,0.01299412619442847,2.6378076174689795,0.6666666666666666,0.4396346029114966
250,1,half_displayed,0.2,203,6,0.029556650246305417,0.23963460291149655,0.007082796145167386,1.4378076174689793,0.6666666666666666,0.4396346029114966
250,1,half_displayed,0.5,203,6,0.029556650246305417,-0.06036539708850342,-0.001784198928724239,-0.36219238253102054,0.5,0.4396346029114966
250,1,half_displayed,1.0,203,6,0.029556650246305417,-0.5603653970885034,-0.01656252405187695,-3.3621923825310205,0.3333333333333333,0.4396346029114966
250,1,touch,0.0,203,23,0.11330049261083744,0.17433204785754755,0.019751906900116224,4.009637100723594,0.5652173913043478,0.17433204785754755
250,1,touch,0.2,203,23,0.11330049261083744,-0.025667952142452544,-0.0029081916220512734,-0.5903628992764085,0.5652173913043478,0.17433204785754755
250,1,touch,0.5,203,23,0.11330049261083744,-0.3256679521424524,-0.03689833940530249,-7.4903628992764055,0.391304347826087,0.17433204785754755
250,1,touch,1.0,203,23,0.11330049261083744,-0.8256679521424524,-0.09354858571072121,-18.990362899276406,0.2608695652173913,0.17433204785754755
250,5,full_displayed,0.0,203,33,0.1625615763546798,0.20011166729588875,0.0325304680825829,6.6036850207643285,0.42424242424242425,0.20011166729588875
